Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2023 [YR2023]","2022 [YR2022]","2021 [YR2021]","2020 [YR2020]","2019 [YR2019]","2018 [YR2018]","2017 [YR2017]","2016 [YR2016]"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Chile","CHL","6.562","6.074","6.483","6.313","9.013","8.249","9.281","10.934","7.493","7.623","7.257","6.673"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","China","CHN","4.1","4.05","4.1","NA","NA","NA","5.11","5.61","5.15","4.93","3.9","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Colombia","COL","9.959","9.246","8.799","8.572","9.603","10.547","13.898","15.983","10.28","9.36","9.086","8.922"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Comoros","COM","NA","NA","8.143","NA","NA","NA","4.394","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Congo, Dem. Rep.","COD","4.485","NA","NA","NA","NA","NA","NA","1.466","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Congo, Rep.","COG","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Costa Rica","CRI","9.11","8.218","8.499","8.415","8.325","11.325","15.139","16.432","10.807","9.01","7.729","8.085"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Cote d'Ivoire","CIV","7.223","4.255","NA","NA","NA","2.306","NA","NA","2.401","NA","3.273","1.896"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Croatia","HRV","15.935","17.251","17.29","16.175","6.086","6.96","7.608","7.507","6.617","8.432","11.208","13.103"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Cuba","CUB","3.46","3.29","2.7","2.4","NA","NA","NA","NA","NA","1.7","1.7","2"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Curacao","CUW","NA","13.03","12.61","11.71","NA","NA","NA","19.07","NA","13.43","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Cyprus","CYP","12.097","16.131","16.277","15.026","6.098","6.807","7.513","7.755","7.155","8.504","11.155","13.006"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Czechia","CZE","6.979","6.953","6.108","5.048","2.58","2.224","2.803","2.551","2.015","2.246","2.893","3.952"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Denmark","DNK","7.798","7.384","6.925","6.278","5.094","4.434","5.043","5.637","5.018","5.131","5.833","5.989"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Djibouti","DJI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26.064","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Dominica","DMA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Dominican Republic","DOM","6.722","7.352","6.719","7.605","5.555","5.504","7.702","6.126","6.356","5.861","5.832","7.284"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Ecuador","ECU","3.235","3.083","3.48","3.616","3.51","3.761","4.552","6.127","3.812","3.53","3.836","4.597"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Egypt, Arab Rep.","EGY","12.597","13.154","13.105","13.052","NA","7.344","7.441","7.974","7.851","9.855","11.767","12.45"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","El Salvador","SLV","3.843","3.693","4.154","3.998","2.992","2.999","4.327","5.008","4.17","4.006","4.385","4.418"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Equatorial Guinea","GNQ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Eritrea","ERI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Estonia","EST","10.021","8.631","7.352","6.412","6.378","5.571","6.178","6.956","4.514","5.412","5.807","6.882"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Ethiopia","ETH","NA","2.251","NA","NA","NA","NA","3.935","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Faroe Islands","FRO","3.03","4.03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Fiji","FJI","9","NA","6.17","NA","NA","NA","NA","NA","NA","NA","NA","4.32"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Finland","FIN","7.689","8.193","8.663","9.376","7.151","6.719","7.617","7.759","6.695","7.361","8.64","8.818"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","France","FRA","9.841","9.913","10.273","10.354","7.335","7.308","7.874","8.01","8.415","9.018","9.41","10.057"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","French Polynesia","PYF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Gabon","GAB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Gambia, The","GMB","10.346","NA","NA","NA","6.479","NA","NA","NA","NA","4.127","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Georgia","GEO","19.653","19.416","17.439","16.506","NA","NA","NA","11.734","11.565","12.667","13.939","16.604"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Germany","DEU","5.372","5.316","4.98","4.612","3.068","3.12","3.594","3.881","3.163","3.384","3.781","4.104"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Ghana","GHA","NA","2.173","NA","6.806","NA","3.084","3.195","NA","NA","NA","3.369","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Gibraltar","GIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Greece","GRC","24.731","27.686","26.708","24.981","11.023","12.426","14.657","15.899","17.045","19.179","21.414","23.514"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Greenland","GRL","9.8","10.1","10.3","9.1","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Grenada","GRD","NA","24.2","24.5","22.9","NA","NA","NA","13.464","10.161","14.066","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Guam","GUM","12.2","11.5","7.6","6.9","NA","NA","NA","NA","NA","NA","NA","5.4"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Guatemala","GTM","2.765","3.017","2.717","2.506","2.344","3.051","2.174","NA","2.193","2.283","2.462","2.583"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Guinea","GIN","NA","NA","NA","NA","NA","NA","NA","NA","5.018","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Guinea-Bissau","GNB","NA","NA","NA","NA","NA","2.666","NA","NA","2.413","3.127","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Guyana","GUY","NA","NA","NA","NA","NA","NA","NA","NA","13.172","13.627","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Haiti","HTI","14.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Honduras","HND","3.755","5.646","7.078","6.147","6.071","8.774","8.506","10.983","5.698","5.648","5.528","6.727"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Hong Kong SAR, China","HKG","3.285","3.4","3.296","3.314","2.949","4.318","5.174","5.808","2.917","2.805","3.124","3.392"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Hungary","HUN","11.003","10.177","7.725","6.813","4.107","3.609","4.045","4.25","3.419","3.709","4.156","5.115"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Iceland","ISL","6","5.376","4.897","3.979","3.518","3.789","6.029","5.478","3.507","2.704","2.742","2.978"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","India","IND","3.222","NA","NA","NA","4.172","4.822","6.38","7.859","6.51","7.652","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Indonesia","IDN","4.468","4.336","4.049","4.514","3.308","3.462","3.827","4.255","3.59","4.387","3.783","4.301"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Iran, Islamic Rep.","IRN","12.275","10.595","10.68","11.166","NA","9.085","9.282","9.687","10.74","12.195","12.232","12.618"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Iraq","IRQ","7.965","NA","10.59","NA","NA","NA","16.173","NA","NA","NA","13.02","10.82"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Ireland","IRL","15.451","13.735","11.858","9.908","4.288","4.501","6.364","5.623","4.95","5.741","6.713","8.374"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Isle of Man","IMN","NA","2.598","1.98","NA","NA","NA","NA","NA","NA","NA","NA","2.67"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Israel","ISR","6.762","6.137","5.789","5.176","3.371","3.695","4.812","4.169","3.731","3.917","4.14","4.723"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Italy","ITA","10.655","12.149","12.683","11.896","7.627","8.069","9.497","9.164","9.952","10.61","11.211","11.688"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Jamaica","JAM","8.695","9.698","9.046","13.511","3.022","4.083","5.188","6.501","4.987","5.47","7.399","8.634"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Japan","JPN","4.358","4.038","3.589","3.385","2.6","2.6","2.828","2.809","2.351","2.467","2.822","3.132"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Jordan","JOR","12.2","12.6","11.9","13.075","NA","18.2","19.837","19.213","16.801","18.257","18.12","15.275"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Kazakhstan","KAZ","5.29","5.2","5.06","4.93","NA","4.86","NA","4.89","4.8","4.85","4.9","4.96"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Kenya","KEN","NA","NA","NA","NA","NA","NA","5.693","NA","5.014","NA","NA","2.757"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Kiribati","KIR","NA","NA","NA","9.335","NA","NA","NA","10.971","8.557","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Korea, Dem. People's Rep.","PRK","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Korea, Rep.","KOR","2.812","2.747","3.082","3.546","2.675","2.857","3.639","3.931","3.746","3.824","3.653","3.65"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Kosovo","XKX","30.879","29.766","35.264","32.84","NA","12.093","20.392","25.459","25.069","27.761","30.344","27.491"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Kuwait","KWT","NA","NA","2.9","2.2","NA","NA","NA","NA","NA","NA","NA","2.16"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Kyrgyz Republic","KGZ","4.67","4.296","4.051","3.364","NA","3.94","4.096","4.63","4.295","3.67","2.655","3.249"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Lao PDR","LAO","NA","NA","NA","NA","NA","1.209","NA","NA","NA","NA","3.269","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Latvia","LVA","15.047","11.867","10.846","9.873","6.465","6.815","7.513","8.098","6.312","7.412","8.715","9.643"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Lebanon","LBN","NA","NA","NA","NA","NA","NA","NA","NA","11.301","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Lesotho","LSO","NA","24.58","NA","NA","NA","NA","NA","NA","16.876","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Liberia","LBR","NA","NA","2.079","NA","NA","NA","NA","NA","NA","NA","5.938","3.081"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Libya","LBY","19.03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Liechtenstein","LIE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Lithuania","LTU","13.365","11.77","10.698","9.12","6.841","5.956","7.112","8.487","6.255","6.147","7.073","7.862"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Luxembourg","LUX","5.03","6.045","6.044","6.796","5.184","4.588","5.571","6.766","5.592","5.589","5.523","6.669"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Macao SAR, China","MAC","1.97","1.82","1.67","1.81","NA","NA","NA","2.566","1.749","1.834","1.987","1.939"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","North Macedonia","MKD","31.096","29.017","28.215","26.395","13.174","14.477","15.801","16.575","17.414","21.208","22.857","24.312"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Madagascar","MDG","0.599","NA","NA","1.785","NA","3.186","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Malawi","MWI","NA","4.978","NA","NA","NA","NA","NA","0.907","NA","NA","3.77","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Malaysia","MYS","3.1","3.16","2.88","3.1","NA","3.93","4.64","4.54","3.26","3.3","3.41","3.44"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Maldives","MDV","NA","NA","3.846","NA","NA","NA","NA","NA","4.562","NA","NA","5.771"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Mali","MLI","NA","6.351","6.376","7.729","NA","2.387","NA","3.528","3.29","1.62","7.414","1.367"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Malta","MLT","6.203","6.115","5.737","5.389","3.11","2.929","3.403","4.357","3.627","3.665","4.008","4.694"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Marshall Islands","MHL","NA","NA","NA","NA","NA","NA","9.823","NA","6.342","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Mauritania","MRT","9.865","NA","NA","NA","NA","NA","NA","NA","10.416","NA","10.336","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Mauritius","MUS","7.472","7.322","7.467","7.41","5.571","6.322","7.719","8.627","6.331","6.427","6.752","6.814"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Mexico","MEX","4.892","4.921","4.819","4.311","2.765","3.256","4.019","4.441","3.477","3.275","3.419","3.853"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Micronesia, Fed. Sts.","FSM","NA","NA","8.863","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Moldova","MDA","2.151","1.873","1.425","1.742","1.555","0.897","0.785","1.186","1.466","1.196","1.586","1.557"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Monaco","MCO","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.33"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Mongolia","MNG","3.905","4.231","4.798","4.861","5.178","5.954","7.871","6.413","9.024","5.377","6.359","7.235"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Montenegro","MNE","19.808","19.585","18.054","17.555","NA","14.852","16.543","17.878","15.128","15.19","16.082","17.732"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Morocco","MAR","8.99","9.23","9.7","9.46","NA","11.79","12.28","NA","NA","NA","NA","9.3"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Mozambique","MOZ","NA","NA","NA","3.426","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Myanmar","MMR","NA","NA","NA","0.766","NA","NA","NA","1.476","0.407","0.767","1.356","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Namibia","NAM","16.771","19.028","18.521","NA","NA","NA","NA","NA","NA","19.877","NA","23.352"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Nauru","NRU","NA","13.282","NA","NA","NA","NA","5.056","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Nepal","NPL","NA","NA","NA","3.1","NA","NA","NA","NA","NA","NA","10.66","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Netherlands","NLD","5.821","7.241","7.419","6.872","3.537","3.526","4.209","3.82","3.379","3.832","4.837","6.007"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","New Caledonia","NCL","NA","NA","14.59","NA","NA","10.71","NA","13.558","10.881","11.702","11.676","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","New Zealand","NZL","6.931","5.839","5.428","5.415","3.729","3.297","3.776","4.595","4.109","4.335","4.736","5.147"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Nicaragua","NIC","5.208","5.28","4.52","4.7","NA","NA","NA","NA","NA","5.2","3.3","3.9"
